Identifier,Ct,Gene,Efficiancy 
523,40,LWS2,0.9079779
524,37.39,LWS2,0.9079779
524,40,LWS2,0.9079779
524,40,LWS2,0.9079779
526,40,LWS2,0.9079779
526,40,LWS2,0.9079779
527,40,LWS2,0.9079779
527,40,LWS2,0.9079779
528,40,LWS2,0.9079779
528,40,LWS2,0.9079779
529,40,LWS2,0.9079779
529,40,LWS2,0.9079779
530,38.14,LWS2,0.9079779
530,40,LWS2,0.9079779
590,40,LWS2,0.9079779
590,40,LWS2,0.9079779
591,40,LWS2,0.9079779
591,40,LWS2,0.9079779
592,37.75,LWS2,0.9079779
592,40,LWS2,0.9079779
592,40,LWS2,0.9079779
593,35.1,LWS2,0.9079779
593,40,LWS2,0.9079779
593,35.14,LWS2,0.9079779
594,36.13,LWS2,0.9079779
594,37.68,LWS2,0.9079779
594,36.21,LWS2,0.9079779
595,40,LWS2,0.9079779
595,37.88,LWS2,0.9079779
595,40,LWS2,0.9079779
596,40,LWS2,0.9079779
596,40,LWS2,0.9079779
200,30.97,LWS3,0.9616775
200,31.11,LWS3,0.9616775
201,31.44,LWS3,0.9616775
201,31.8,LWS3,0.9616775
202,30.98,LWS3,0.9616775
202,31.51,LWS3,0.9616775
203,31.22,LWS3,0.9616775
203,31.57,LWS3,0.9616775
204,30.25,LWS3,0.9616775
204,30.19,LWS3,0.9616775
205,28.84,LWS3,0.9616775
205,28.65,LWS3,0.9616775
206,29.1,LWS3,0.9616775
206,29.02,LWS3,0.9616775
242,36,LWS3,0.9616775
242,34.68,LWS3,0.9616775
244,31.8,LWS3,0.9616775
244,31.82,LWS3,0.9616775
245,32.14,LWS3,0.9616775
245,33.82,LWS3,0.9616775
245,32.68,LWS3,0.9616775
246,31.05,LWS3,0.9616775
246,31.08,LWS3,0.9616775
247,30.18,LWS3,0.9616775
247,30.24,LWS3,0.9616775
248,31.91,LWS3,0.9616775
248,32.38,LWS3,0.9616775
249,34.03,LWS3,0.9616775
249,35.08,LWS3,0.9616775
260,31.27,LWS3,0.9616775
260,31.67,LWS3,0.9616775
261,29.67,LWS3,0.9616775
261,29.3,LWS3,0.9616775
262,30.87,LWS3,0.9616775
262,31.12,LWS3,0.9616775
264,26.72,LWS3,0.9616775
264,26.69,LWS3,0.9616775
265,26.91,LWS3,0.9616775
265,26.69,LWS3,0.9616775
266,26.46,LWS3,0.9616775
266,26.63,LWS3,0.9616775
267,28.8,LWS3,0.9616775
267,28.63,LWS3,0.9616775
365,30.75,LWS3,0.9616775
365,30.39,LWS3,0.9616775
366,31.49,LWS3,0.9616775
366,31.41,LWS3,0.9616775
367,27.66,LWS3,0.9616775
367,27.81,LWS3,0.9616775
368,30.32,LWS3,0.9616775
368,29.91,LWS3,0.9616775
369,32.61,LWS3,0.9616775
369,32.75,LWS3,0.9616775
370,31.36,LWS3,0.9616775
370,31.81,LWS3,0.9616775
371,33.84,LWS3,0.9616775
371,33.95,LWS3,0.9616775
472,30.48,LWS3,0.9616775
472,30.83,LWS3,0.9616775
474,30.83,LWS3,0.9616775
474,30.72,LWS3,0.9616775
475,33.53,LWS3,0.9616775
475,32.35,LWS3,0.9616775
476,27.26,LWS3,0.9616775
476,27.11,LWS3,0.9616775
477,26.75,LWS3,0.9616775
477,26.69,LWS3,0.9616775
478,25.54,LWS3,0.9616775
478,25.68,LWS3,0.9616775
479,28.81,LWS3,0.9616775
479,28.84,LWS3,0.9616775
502,40,LWS3,0.9616775
502,40,LWS3,0.9616775
503,34.86,LWS3,0.9616775
503,34.07,LWS3,0.9616775
505,34.97,LWS3,0.9616775
505,37.45,LWS3,0.9616775
505,40,LWS3,0.9616775
506,30.41,LWS3,0.9616775
506,30.59,LWS3,0.9616775
507,30.3,LWS3,0.9616775
507,30.3,LWS3,0.9616775
508,40,LWS3,0.9616775
508,40,LWS3,0.9616775
509,40,LWS3,0.9616775
509,40,LWS3,0.9616775
523,32.55,LWS3,0.9616775
523,32.74,LWS3,0.9616775
524,32.63,LWS3,0.9616775
524,31.95,LWS3,0.9616775
526,30.84,LWS3,0.9616775
526,30.79,LWS3,0.9616775
527,27.67,LWS3,0.9616775
527,27.79,LWS3,0.9616775
528,25.58,LWS3,0.9616775
528,25.49,LWS3,0.9616775
529,25.59,LWS3,0.9616775
529,25.71,LWS3,0.9616775
530,28.73,LWS3,0.9616775
530,28.24,LWS3,0.9616775
590,40,LWS3,0.9616775
590,40,LWS3,0.9616775
591,40,LWS3,0.9616775
591,40,LWS3,0.9616775
592,31.39,LWS3,0.9616775
592,30.52,LWS3,0.9616775
593,40,LWS3,0.9616775
593,36.07,LWS3,0.9616775
594,40,LWS3,0.9616775
594,40,LWS3,0.9616775
595,40,LWS3,0.9616775
595,40,LWS3,0.9616775
596,36.07,LWS3,0.9616775
596,35.93,LWS3,0.9616775
200,37.4,LWSr,0.8316551
200,37.7,LWSr,0.8316551
201,35.48,LWSr,0.8316551
201,40,LWSr,0.8316551
201,40,LWSr,0.8316551
201,40,LWSr,0.8316551
202,40,LWSr,0.8316551
202,36.63,LWSr,0.8316551
202,36.61,LWSr,0.8316551
203,40,LWSr,0.8316551
203,40,LWSr,0.8316551
204,34.74,LWSr,0.8316551
204,35.02,LWSr,0.8316551
205,40,LWSr,0.8316551
205,34.84,LWSr,0.8316551
205,35.17,LWSr,0.8316551
206,35.85,LWSr,0.8316551
206,35.77,LWSr,0.8316551
242,40,LWSr,0.8316551
242,40,LWSr,0.8316551
244,35.23,LWSr,0.8316551
244,40,LWSr,0.8316551
244,37.82,LWSr,0.8316551
245,35.73,LWSr,0.8316551
245,40,LWSr,0.8316551
246,40,LWSr,0.8316551
246,40,LWSr,0.8316551
247,36.3,LWSr,0.8316551
247,38.27,LWSr,0.8316551
247,35.54,LWSr,0.8316551
248,40,LWSr,0.8316551
248,35.01,LWSr,0.8316551
248,40,LWSr,0.8316551
249,40,LWSr,0.8316551
249,40,LWSr,0.8316551
260,40,LWSr,0.8316551
260,40,LWSr,0.8316551
261,40,LWSr,0.8316551
261,40,LWSr,0.8316551
262,40,LWSr,0.8316551
262,40,LWSr,0.8316551
264,36.33,LWSr,0.8316551
264,38.34,LWSr,0.8316551
264,40,LWSr,0.8316551
265,40,LWSr,0.8316551
265,37.34,LWSr,0.8316551
265,36.45,LWSr,0.8316551
266,36.4,LWSr,0.8316551
266,40,LWSr,0.8316551
266,40,LWSr,0.8316551
267,40,LWSr,0.8316551
267,37.29,LWSr,0.8316551
365,35.55,LWSr,0.8316551
365,37.18,LWSr,0.8316551
365,36.74,LWSr,0.8316551
366,37.01,LWSr,0.8316551
366,36.15,LWSr,0.8316551
367,40,LWSr,0.8316551
367,40,LWSr,0.8316551
368,34.76,LWSr,0.8316551
368,35.33,LWSr,0.8316551
369,40,LWSr,0.8316551
369,36.98,LWSr,0.8316551
370,40,LWSr,0.8316551
370,40,LWSr,0.8316551
371,40,LWSr,0.8316551
371,40,LWSr,0.8316551
472,40,LWSr,0.8316551
472,40,LWSr,0.8316551
474,40,LWSr,0.8316551
474,40,LWSr,0.8316551
475,40,LWSr,0.8316551
475,40,LWSr,0.8316551
476,38.54,LWSr,0.8316551
476,36.68,LWSr,0.8316551
476,40,LWSr,0.8316551
477,35.57,LWSr,0.8316551
477,35.22,LWSr,0.8316551
478,38.15,LWSr,0.8316551
478,36.12,LWSr,0.8316551
478,40,LWSr,0.8316551
479,36.92,LWSr,0.8316551
479,40,LWSr,0.8316551
502,40,LWSr,0.8316551
502,40,LWSr,0.8316551
503,40,LWSr,0.8316551
503,40,LWSr,0.8316551
505,40,LWSr,0.8316551
505,40,LWSr,0.8316551
506,36.36,LWSr,0.8316551
506,40,LWSr,0.8316551
506,37.4,LWSr,0.8316551
507,34.66,LWSr,0.8316551
507,36.77,LWSr,0.8316551
507,34.83,LWSr,0.8316551
508,37.13,LWSr,0.8316551
508,36.8,LWSr,0.8316551
509,40,LWSr,0.8316551
509,37.04,LWSr,0.8316551
509,40,LWSr,0.8316551
523,40,LWSr,0.8316551
523,40,LWSr,0.8316551
524,40,LWSr,0.8316551
524,40,LWSr,0.8316551
526,40,LWSr,0.8316551
526,40,LWSr,0.8316551
527,35.04,LWSr,0.8316551
527,37.21,LWSr,0.8316551
527,35.24,LWSr,0.8316551
528,34.86,LWSr,0.8316551
528,35.69,LWSr,0.8316551
529,35.04,LWSr,0.8316551
529,34.69,LWSr,0.8316551
530,40,LWSr,0.8316551
530,36.78,LWSr,0.8316551
530,40,LWSr,0.8316551
590,40,LWSr,0.8316551
590,40,LWSr,0.8316551
591,40,LWSr,0.8316551
591,40,LWSr,0.8316551
592,34.82,LWSr,0.8316551
592,35.62,LWSr,0.8316551
593,34.91,LWSr,0.8316551
593,34.66,LWSr,0.8316551
594,36.96,LWSr,0.8316551
594,35.85,LWSr,0.8316551
595,40,LWSr,0.8316551
595,36.83,LWSr,0.8316551
596,38.09,LWSr,0.8316551
596,40,LWSr,0.8316551
596,36.58,LWSr,0.8316551
200,27,RH2-1,1.101161
200,27.23,RH2-1,1.101161
200,40,RH2-1,1.101161
201,26.67,RH2-1,1.101161
201,26.65,RH2-1,1.101161
202,28.22,RH2-1,1.101161
202,28.19,RH2-1,1.101161
203,32.05,RH2-1,1.101161
203,32.08,RH2-1,1.101161
204,24.85,RH2-1,1.101161
204,24.93,RH2-1,1.101161
205,25.66,RH2-1,1.101161
205,25.72,RH2-1,1.101161
206,24.61,RH2-1,1.101161
206,24.63,RH2-1,1.101161
242,27.2,RH2-1,1.101161
244,24.78,RH2-1,1.101161
244,24.52,RH2-1,1.101161
245,25.6,RH2-1,1.101161
245,25.71,RH2-1,1.101161
246,23.09,RH2-1,1.101161
246,23.4,RH2-1,1.101161
247,23.89,RH2-1,1.101161
247,23.91,RH2-1,1.101161
248,26.77,RH2-1,1.101161
248,26.89,RH2-1,1.101161
249,27.13,RH2-1,1.101161
249,26.93,RH2-1,1.101161
260,32.12,RH2-1,1.101161
260,32.85,RH2-1,1.101161
260,40,RH2-1,1.101161
261,31.78,RH2-1,1.101161
261,33.43,RH2-1,1.101161
262,31.12,RH2-1,1.101161
262,31.24,RH2-1,1.101161
264,26.85,RH2-1,1.101161
264,26.88,RH2-1,1.101161
265,25.52,RH2-1,1.101161
265,26.01,RH2-1,1.101161
266,27.44,RH2-1,1.101161
266,27.18,RH2-1,1.101161
267,28.28,RH2-1,1.101161
267,28.21,RH2-1,1.101161
362,28.38,RH2-1,1.101161
365,24.71,RH2-1,1.101161
365,24.72,RH2-1,1.101161
