Identifier,Ct,Gene,Efficiancy ,Ben_abs,Ben_rel
203,40,LWS2,0.9079779,0.7751,0.9031
203,35.37,LWS2,0.9079779,0.7751,0.9031
203,40,LWS2,0.9079779,0.7751,0.9031
204,33.2,LWS2,0.9079779,0.7751,0.9031
204,34.96,LWS2,0.9079779,0.7751,0.9031
204,35.38,LWS2,0.9079779,0.7751,0.9031
205,34.8,LWS2,0.9079779,0.7751,0.9031
205,37.36,LWS2,0.9079779,0.7751,0.9031
205,36.93,LWS2,0.9079779,0.7751,0.9031
206,37.13,LWS2,0.9079779,0.7751,0.9031
206,40,LWS2,0.9079779,0.7751,0.9031
206,38.41,LWS2,0.9079779,0.7751,0.9031
242,40,LWS2,0.9079779,0.7751,0.9031
242,40,LWS2,0.9079779,0.7751,0.9031
244,40,LWS2,0.9079779,0.7751,0.9031
244,40,LWS2,0.9079779,0.7751,0.9031
245,37.72,LWS2,0.9079779,0.7751,0.9031
245,40,LWS2,0.9079779,0.7751,0.9031
245,40,LWS2,0.9079779,0.7751,0.9031
246,40,LWS2,0.9079779,0.7751,0.9031
246,38,LWS2,0.9079779,0.7751,0.9031
246,40,LWS2,0.9079779,0.7751,0.9031
247,40,LWS2,0.9079779,0.7751,0.9031
247,40,LWS2,0.9079779,0.7751,0.9031
248,40,LWS2,0.9079779,0.7751,0.9031
248,35.08,LWS2,0.9079779,0.7751,0.9031
248,38.36,LWS2,0.9079779,0.7751,0.9031
249,40,LWS2,0.9079779,0.7751,0.9031
249,40,LWS2,0.9079779,0.7751,0.9031
260,40,LWS2,0.9079779,0.7751,0.9031
260,38.38,LWS2,0.9079779,0.7751,0.9031
260,40,LWS2,0.9079779,0.7751,0.9031
261,38.02,LWS2,0.9079779,0.7751,0.9031
261,36.3,LWS2,0.9079779,0.7751,0.9031
262,40,LWS2,0.9079779,0.7751,0.9031
262,38.02,LWS2,0.9079779,0.7751,0.9031
262,40,LWS2,0.9079779,0.7751,0.9031
264,40,LWS2,0.9079779,0.7751,0.9031
264,40,LWS2,0.9079779,0.7751,0.9031
265,36.09,LWS2,0.9079779,0.7751,0.9031
265,36.52,LWS2,0.9079779,0.7751,0.9031
266,40,LWS2,0.9079779,0.7751,0.9031
266,40,LWS2,0.9079779,0.7751,0.9031
267,35.8,LWS2,0.9079779,0.7751,0.9031
267,38.33,LWS2,0.9079779,0.7751,0.9031
267,40,LWS2,0.9079779,0.7751,0.9031
365,40,LWS2,0.9079779,0.7751,0.9031
365,37.84,LWS2,0.9079779,0.7751,0.9031
365,38.11,LWS2,0.9079779,0.7751,0.9031
366,40,LWS2,0.9079779,0.7751,0.9031
366,35.14,LWS2,0.9079779,0.7751,0.9031
366,38.15,LWS2,0.9079779,0.7751,0.9031
367,40,LWS2,0.9079779,0.7751,0.9031
367,40,LWS2,0.9079779,0.7751,0.9031
368,40,LWS2,0.9079779,0.7751,0.9031
368,40,LWS2,0.9079779,0.7751,0.9031
369,40,LWS2,0.9079779,0.7751,0.9031
369,40,LWS2,0.9079779,0.7751,0.9031
370,36.99,LWS2,0.9079779,0.7751,0.9031
370,37.02,LWS2,0.9079779,0.7751,0.9031
371,40,LWS2,0.9079779,0.7751,0.9031
371,40,LWS2,0.9079779,0.7751,0.9031
472,40,LWS2,0.9079779,0.7751,0.9031
472,38.2,LWS2,0.9079779,0.7751,0.9031
472,38.24,LWS2,0.9079779,0.7751,0.9031
474,40,LWS2,0.9079779,0.7751,0.9031
474,38.24,LWS2,0.9079779,0.7751,0.9031
474,40,LWS2,0.9079779,0.7751,0.9031
475,40,LWS2,0.9079779,0.7751,0.9031
475,40,LWS2,0.9079779,0.7751,0.9031
476,40,LWS2,0.9079779,0.7751,0.9031
476,40,LWS2,0.9079779,0.7751,0.9031
477,40,LWS2,0.9079779,0.7751,0.9031
477,40,LWS2,0.9079779,0.7751,0.9031
478,40,LWS2,0.9079779,0.7751,0.9031
478,40,LWS2,0.9079779,0.7751,0.9031
479,40,LWS2,0.9079779,0.7751,0.9031
479,40,LWS2,0.9079779,0.7751,0.9031
502,40,LWS2,0.9079779,0.7751,0.9031
502,40,LWS2,0.9079779,0.7751,0.9031
503,40,LWS2,0.9079779,0.7751,0.9031
503,37.32,LWS2,0.9079779,0.7751,0.9031
503,40,LWS2,0.9079779,0.7751,0.9031
505,40,LWS2,0.9079779,0.7751,0.9031
505,40,LWS2,0.9079779,0.7751,0.9031
506,33.96,LWS2,0.9079779,0.7751,0.9031
506,33.72,LWS2,0.9079779,0.7751,0.9031
507,36.43,LWS2,0.9079779,0.7751,0.9031
507,35.22,LWS2,0.9079779,0.7751,0.9031
508,34.33,LWS2,0.9079779,0.7751,0.9031
508,34.03,LWS2,0.9079779,0.7751,0.9031
509,40,LWS2,0.9079779,0.7751,0.9031
509,36.48,LWS2,0.9079779,0.7751,0.9031
509,40,LWS2,0.9079779,0.7751,0.9031
523,40,LWS2,0.9079779,0.7751,0.9031
523,40,LWS2,0.9079779,0.7751,0.9031
524,37.39,LWS2,0.9079779,0.7751,0.9031
524,40,LWS2,0.9079779,0.7751,0.9031
524,40,LWS2,0.9079779,0.7751,0.9031
526,40,LWS2,0.9079779,0.7751,0.9031
526,40,LWS2,0.9079779,0.7751,0.9031
527,40,LWS2,0.9079779,0.7751,0.9031
527,40,LWS2,0.9079779,0.7751,0.9031
528,40,LWS2,0.9079779,0.7751,0.9031
528,40,LWS2,0.9079779,0.7751,0.9031
529,40,LWS2,0.9079779,0.7751,0.9031
529,40,LWS2,0.9079779,0.7751,0.9031
530,38.14,LWS2,0.9079779,0.7751,0.9031
530,40,LWS2,0.9079779,0.7751,0.9031
590,40,LWS2,0.9079779,0.7751,0.9031
590,40,LWS2,0.9079779,0.7751,0.9031
591,40,LWS2,0.9079779,0.7751,0.9031
591,40,LWS2,0.9079779,0.7751,0.9031
592,37.75,LWS2,0.9079779,0.7751,0.9031
592,40,LWS2,0.9079779,0.7751,0.9031
592,40,LWS2,0.9079779,0.7751,0.9031
593,35.1,LWS2,0.9079779,0.7751,0.9031
593,40,LWS2,0.9079779,0.7751,0.9031
593,35.14,LWS2,0.9079779,0.7751,0.9031
594,36.13,LWS2,0.9079779,0.7751,0.9031
594,37.68,LWS2,0.9079779,0.7751,0.9031
594,36.21,LWS2,0.9079779,0.7751,0.9031
595,40,LWS2,0.9079779,0.7751,0.9031
595,37.88,LWS2,0.9079779,0.7751,0.9031
595,40,LWS2,0.9079779,0.7751,0.9031
596,40,LWS2,0.9079779,0.7751,0.9031
596,40,LWS2,0.9079779,0.7751,0.9031
200,30.97,LWS3,0.9616775,0.7856,0.9142
200,31.11,LWS3,0.9616775,0.7856,0.9142
201,31.44,LWS3,0.9616775,0.7856,0.9142
201,31.8,LWS3,0.9616775,0.7856,0.9142
202,30.98,LWS3,0.9616775,0.7856,0.9142
202,31.51,LWS3,0.9616775,0.7856,0.9142
203,31.22,LWS3,0.9616775,0.7856,0.9142
203,31.57,LWS3,0.9616775,0.7856,0.9142
204,30.25,LWS3,0.9616775,0.7856,0.9142
204,30.19,LWS3,0.9616775,0.7856,0.9142
205,28.84,LWS3,0.9616775,0.7856,0.9142
205,28.65,LWS3,0.9616775,0.7856,0.9142
206,29.1,LWS3,0.9616775,0.7856,0.9142
206,29.02,LWS3,0.9616775,0.7856,0.9142
242,36,LWS3,0.9616775,0.7856,0.9142
242,34.68,LWS3,0.9616775,0.7856,0.9142
244,31.8,LWS3,0.9616775,0.7856,0.9142
244,31.82,LWS3,0.9616775,0.7856,0.9142
245,32.14,LWS3,0.9616775,0.7856,0.9142
245,33.82,LWS3,0.9616775,0.7856,0.9142
245,32.68,LWS3,0.9616775,0.7856,0.9142
246,31.05,LWS3,0.9616775,0.7856,0.9142
246,31.08,LWS3,0.9616775,0.7856,0.9142
247,30.18,LWS3,0.9616775,0.7856,0.9142
247,30.24,LWS3,0.9616775,0.7856,0.9142
248,31.91,LWS3,0.9616775,0.7856,0.9142
248,32.38,LWS3,0.9616775,0.7856,0.9142
249,34.03,LWS3,0.9616775,0.7856,0.9142
249,35.08,LWS3,0.9616775,0.7856,0.9142
260,31.27,LWS3,0.9616775,0.7856,0.9142
260,31.67,LWS3,0.9616775,0.7856,0.9142
261,29.67,LWS3,0.9616775,0.7856,0.9142
261,29.3,LWS3,0.9616775,0.7856,0.9142
262,30.87,LWS3,0.9616775,0.7856,0.9142
262,31.12,LWS3,0.9616775,0.7856,0.9142
264,26.72,LWS3,0.9616775,0.7856,0.9142
264,26.69,LWS3,0.9616775,0.7856,0.9142
265,26.91,LWS3,0.9616775,0.7856,0.9142
265,26.69,LWS3,0.9616775,0.7856,0.9142
266,26.46,LWS3,0.9616775,0.7856,0.9142
266,26.63,LWS3,0.9616775,0.7856,0.9142
267,28.8,LWS3,0.9616775,0.7856,0.9142
267,28.63,LWS3,0.9616775,0.7856,0.9142
365,30.75,LWS3,0.9616775,0.7856,0.9142
365,30.39,LWS3,0.9616775,0.7856,0.9142
366,31.49,LWS3,0.9616775,0.7856,0.9142
366,31.41,LWS3,0.9616775,0.7856,0.9142
