SpectraSuite Data File
++++++++++++++++++++++++++++++++++++
Date: Wed May 13 21:37:07 PDT 2015
User: schluterlab
Dark Spectrum Present: Yes
Reference Spectrum Present: Yes
Number of Sampled Component Spectra: 1
Spectrometers: USB2E3373
Integration Time (usec): 3000 (USB2E3373)
Spectra Averaged: 3 (USB2E3373)
Boxcar Smoothing: 0 (USB2E3373)
Correct for Electrical Dark: No (USB2E3373)
Strobe/Lamp Enabled: No (USB2E3373)
Correct for Detector Non-linearity: No (USB2E3373)
Correct for Stray Light: No (USB2E3373)
Number of Pixels in Processed Spectrum: 2048
>>>>>Begin Processed Spectral Data<<<<<
178.53	0.000
178.91	550.000
179.29	250.000
179.67	-1000.000
180.04	-733.333
180.42	380.000
180.80	2500.000
181.18	350.000
181.56	-450.000
181.94	-250.000
182.31	-27.273
182.69	200.000
183.07	-360.000
183.45	433.333
183.83	322.222
184.20	228.571
184.58	-33.333
184.96	600.000
185.34	242.857
185.72	0.000
186.09	-1500.000
186.47	-320.000
186.85	340.000
187.23	-400.000
187.61	1000.000
187.98	1600.000
188.36	-162.500
188.74	0.000
189.12	-109.091
189.49	-90.000
189.87	191.667
190.25	460.000
190.63	1700.000
191.00	-400.000
191.38	420.000
191.76	400.000
192.14	150.000
192.51	-73.684
192.89	700.000
193.27	500.000
193.65	-420.000
194.02	254.545
194.40	230.000
194.78	-1500.000
195.15	480.000
195.53	-380.000
195.91	-112.500
196.29	-500.000
196.66	0.000
197.04	1050.000
197.42	-40.000
197.79	-30.000
198.17	-137.500
198.55	-200.000
198.92	450.000
199.30	-633.333
199.68	-50.000
200.05	550.000
200.43	216.667
200.81	-1700.000
201.18	-320.000
201.56	-200.000
201.94	525.000
202.31	-8.696
202.69	-171.429
203.07	-600.000
203.44	-360.000
203.82	-400.000
204.19	-90.000
204.57	0.000
204.95	-266.667
205.32	0.000
205.70	-650.000
206.08	-575.000
206.45	-183.333
206.83	500.000
207.20	-533.333
207.58	-60.000
207.96	-2200.000
208.33	-228.571
208.71	-2400.000
209.08	337.500
209.46	625.000
209.84	0.000
210.21	230.000
210.59	2400.000
210.96	260.000
211.34	2000.000
211.71	-1000.000
212.09	-183.333
212.46	-160.000
212.84	-333.333
213.22	-150.000
213.59	-1600.000
213.97	-950.000
214.34	-750.000
214.72	-138.462
215.09	175.000
215.47	222.222
215.84	650.000
216.22	-137.500
216.59	-900.000
216.97	800.000
217.34	144.444
217.72	0.000
218.09	166.667
218.47	-1500.000
218.84	-200.000
219.22	-225.000
219.59	-833.333
219.97	-500.000
220.34	-25.000
220.72	-240.000
221.09	0.000
221.47	-216.667
221.84	-1500.000
222.22	0.000
222.59	1500.000
222.97	-400.000
223.34	-100.000
223.72	-1100.000
224.09	-500.000
224.46	-118.182
224.84	-112.500
225.21	-114.286
225.59	-375.000
225.96	-200.000
226.34	-110.000
226.71	-342.857
227.08	850.000
227.46	-162.500
227.83	-1000.000
228.21	-68.750
228.58	-475.000
228.95	-70.588
229.33	-62.500
229.70	-125.000
230.08	-46.154
230.45	-50.000
230.82	-125.000
231.20	300.000
231.57	-425.000
231.95	2200.000
232.32	-33.333
232.69	-76.471
233.07	-1000.000
233.44	-69.565
233.81	-1300.000
234.19	4.167
234.56	-133.333
234.93	-133.333
235.31	-31.579
235.68	-76.923
236.05	-69.231
236.43	-88.889
236.80	-48.485
237.17	-126.667
237.55	-52.941
237.92	-62.069
238.29	-48.148
238.67	-38.889
239.04	-64.516
239.41	-40.426
239.79	-19.149
240.16	-23.256
240.53	-14.286
240.91	-7.143
241.28	-8.929
241.65	-22.581
242.02	-10.526
242.40	-11.594
242.77	-15.942
243.14	-15.385
243.51	-7.447
243.89	-2.885
244.26	9.434
244.63	-10.577
245.00	-11.458
245.38	-10.924
245.75	-5.738
246.12	0.000
246.49	-14.634
246.87	-19.328
247.24	-3.378
247.61	-10.596
247.98	-2.564
248.36	-1.775
248.73	-7.865
249.10	-5.051
249.47	-2.688
249.84	3.684
250.22	-3.483
250.59	0.000
250.96	0.455
251.33	-5.263
251.70	3.347
252.08	-3.766
252.45	3.704
252.82	3.422
253.19	-1.946
253.56	-0.719
253.94	5.338
254.31	-0.704
254.68	1.342
255.05	2.640
255.42	0.350
255.79	-0.920
256.16	3.785
256.54	-2.540
256.91	-2.532
257.28	2.830
257.65	-3.503
258.02	1.760
258.39	1.754
258.76	-2.035
259.14	-1.705
259.51	-0.281
259.88	0.813
260.25	0.278
260.62	0.281
260.99	5.305
261.36	2.332
261.73	1.235
262.10	-0.763
262.47	-1.235
262.85	0.000
263.22	3.077
263.59	1.039
263.96	0.973
264.33	0.000
264.70	3.256
