,Well,Fluor,Type,Identifier,Replicate #,Threshold Cycle (Ct),Ct Mean,Ct Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev.,Set Point
,A02,FAM,Unkn,200,1,27.00,27.12,0.158,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,A03,FAM,Unkn,200LWS1,29,N/A,00.00,N/A,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,A04,FAM,Unkn,242,8,27.60,27.40,0.284,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,A05,FAM,Unkn,260,15,32.12,32.48,0.520,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,A06,FAM,Unkn,365,22,24.71,24.71,0.008,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,A07,FAM,Unkn,200,1,27.23,27.12,0.158,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,A08,FAM,Unkn,242,8,27.20,27.40,0.284,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,A09,FAM,Unkn,260,15,32.85,32.48,0.520,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,A10,FAM,Unkn,365,22,24.72,24.71,0.008,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,A11,FAM,NTC,NoRT,1,N/A,00.00,N/A,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,B02,FAM,Unkn,201,2,26.67,26.66,0.013,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,B03,FAM,Unkn,242LWS1,30,N/A,00.00,N/A,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,B04,FAM,Unkn,244,9,24.78,24.65,0.189,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,B05,FAM,Unkn,261,16,31.78,32.60,1.167,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,B06,FAM,Unkn,366,23,22.87,22.87,0.003,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,B07,FAM,Unkn,201,2,26.65,26.66,0.013,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,B08,FAM,Unkn,244,9,24.52,24.65,0.189,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,B09,FAM,Unkn,261,16,33.43,32.60,1.167,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,B10,FAM,Unkn,366,23,22.86,22.87,0.003,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,B11,FAM,NTC,NCT,2,N/A,00.00,N/A,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,C02,FAM,Unkn,202,3,28.22,28.21,0.021,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,C04,FAM,Unkn,245,10,25.60,25.65,0.076,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,C05,FAM,Unkn,262,17,31.12,31.18,0.085,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,C06,FAM,Unkn,367,24,23.96,24.02,0.084,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,C07,FAM,Unkn,202,3,28.19,28.21,0.021,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,C08,FAM,Unkn,245,10,25.71,25.65,0.076,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,C09,FAM,Unkn,262,17,31.24,31.18,0.085,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,C10,FAM,Unkn,367,24,24.08,24.02,0.084,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,D02,FAM,Unkn,203,4,32.05,32.06,0.021,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,D03,FAM,Unkn,260LWS1,31,N/A,00.00,N/A,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,D04,FAM,Unkn,246,11,23.09,23.25,0.215,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,D05,FAM,Unkn,264,18,26.85,26.87,0.026,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,D06,FAM,Unkn,368,25,22.67,22.78,0.158,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,D07,FAM,Unkn,203,4,32.08,32.06,0.021,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,D08,FAM,Unkn,246,11,23.40,23.25,0.215,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,D09,FAM,Unkn,264,18,26.88,26.87,0.026,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,D10,FAM,Unkn,368,25,22.89,22.78,0.158,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,E02,FAM,Unkn,204,5,24.85,24.89,0.055,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,E03,FAM,Unkn,472LWS1,32,N/A,00.00,N/A,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,E04,FAM,Unkn,247,12,23.89,23.90,0.010,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,E05,FAM,Unkn,265,19,25.52,25.77,0.349,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,E06,FAM,Unkn,369,26,24.98,25.10,0.170,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,E07,FAM,Unkn,204,5,24.93,24.89,0.055,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,E08,FAM,Unkn,247,12,23.91,23.90,0.010,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,E09,FAM,Unkn,265,19,26.01,25.77,0.349,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,E10,FAM,Unkn,369,26,25.22,25.10,0.170,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,F02,FAM,Unkn,205,6,25.66,25.69,0.043,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,F03,FAM,Unkn,502LWS1,33,28.51,28.51,N/A,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,F04,FAM,Unkn,248,13,26.77,26.83,0.084,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,F05,FAM,Unkn,266,20,27.44,27.31,0.180,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,F06,FAM,Unkn,370,27,25.04,25.05,0.004,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,F07,FAM,Unkn,205,6,25.72,25.69,0.043,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,F08,FAM,Unkn,248,13,26.89,26.83,0.084,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,F09,FAM,Unkn,266,20,27.18,27.31,0.180,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,F10,FAM,Unkn,370,27,25.05,25.05,0.004,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,G02,FAM,Unkn,206,7,24.61,24.62,0.018,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,G04,FAM,Unkn,249,14,27.13,27.03,0.143,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,G05,FAM,Unkn,267,21,28.28,28.24,0.049,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,G06,FAM,Unkn,371,28,25.65,25.63,0.035,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,G07,FAM,Unkn,206,7,24.63,24.62,0.018,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,G08,FAM,Unkn,249,14,26.93,27.03,0.143,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,G09,FAM,Unkn,267,21,28.21,28.24,0.049,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,G10,FAM,Unkn,371,28,25.60,25.63,0.035,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
