Well,Fluor,Type,Identifier,Replicate #,Threshold Cycle (Ct),Ct Mean,Ct Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev.,Set Point,Gene
A02,FAM,Unkn,LWS2 201,1,38.31,38.31,N/A,0.00E+00,#NUM!,0.00E+00,0.00E+00,N/A,LWS2
A04,FAM,Unkn,LWS2 246,8,N/A,0,N/A,0.00E+00,#NUM!,0.00E+00,0.00E+00,N/A,LWS2
A05,FAM,Unkn,LWS2 366,15,38.15,38.15,N/A,0.00E+00,#NUM!,0.00E+00,0.00E+00,N/A,LWS2
A06,FAM,Unkn,LWS2 592,22,N/A,0,N/A,0.00E+00,#NUM!,0.00E+00,0.00E+00,N/A,LWS2
B02,FAM,Unkn,LWS2 202,2,N/A,0,N/A,0.00E+00,#NUM!,0.00E+00,0.00E+00,N/A,LWS2
B04,FAM,Unkn,LWS2 248,9,38.36,38.36,N/A,0.00E+00,#NUM!,0.00E+00,0.00E+00,N/A,LWS2
B05,FAM,Unkn,LWS2 472,16,38.24,38.24,N/A,0.00E+00,#NUM!,0.00E+00,0.00E+00,N/A,LWS2
B06,FAM,Unkn,LWS2 593,23,35.14,35.14,N/A,0.00E+00,#NUM!,0.00E+00,0.00E+00,N/A,LWS2
C02,FAM,Unkn,LWS2 203,3,N/A,0,N/A,0.00E+00,#NUM!,0.00E+00,0.00E+00,N/A,LWS2
C04,FAM,Unkn,LWS2 260,10,N/A,0,N/A,0.00E+00,#NUM!,0.00E+00,0.00E+00,N/A,LWS2
C05,FAM,Unkn,LWS2 474,17,N/A,0,N/A,0.00E+00,#NUM!,0.00E+00,0.00E+00,N/A,LWS2
C06,FAM,Unkn,LWS2 594,24,36.21,36.21,N/A,0.00E+00,#NUM!,0.00E+00,0.00E+00,N/A,LWS2
C07,FAM,NTC,lws2 NT,1,N/A,0,N/A,0.00E+00,#NUM!,0.00E+00,0.00E+00,N/A,LWS2
D02,FAM,Unkn,LWS2 204,4,35.38,35.38,N/A,0.00E+00,#NUM!,0.00E+00,0.00E+00,N/A,LWS2
D05,FAM,Unkn,LWS2 503,18,N/A,0,N/A,0.00E+00,#NUM!,0.00E+00,0.00E+00,N/A,LWS2
D06,FAM,Unkn,LWS 595,25,N/A,0,N/A,0.00E+00,#NUM!,0.00E+00,0.00E+00,N/A,LWS2
E02,FAM,Unkn,LWS2 205,5,36.93,36.93,N/A,0.00E+00,#NUM!,0.00E+00,0.00E+00,N/A,LWS2
E04,FAM,Unkn,LWS2 262,12,N/A,0,N/A,0.00E+00,#NUM!,0.00E+00,0.00E+00,N/A,LWS2
E05,FAM,Unkn,LWS2 509,19,N/A,0,N/A,0.00E+00,#NUM!,0.00E+00,0.00E+00,N/A,LWS2
F02,FAM,Unkn,LWS2 206,6,38.41,38.41,N/A,0.00E+00,#NUM!,0.00E+00,0.00E+00,N/A,LWS2
F04,FAM,Unkn,LWS2 267,13,N/A,0,N/A,0.00E+00,#NUM!,0.00E+00,0.00E+00,N/A,LWS2
F05,FAM,Unkn,LWS2 524,20,N/A,0,N/A,0.00E+00,#NUM!,0.00E+00,0.00E+00,N/A,LWS2
G02,FAM,Unkn,LWS2 245,7,N/A,0,N/A,0.00E+00,#NUM!,0.00E+00,0.00E+00,N/A,LWS2
G04,FAM,Unkn,LWS2 365,14,38.11,38.11,N/A,0.00E+00,#NUM!,0.00E+00,0.00E+00,N/A,LWS2
