SpectraSuite Data File
++++++++++++++++++++++++++++++++++++
Date: Tue May 12 17:03:46 PDT 2015
User: schluterlab
Dark Spectrum Present: Yes
Reference Spectrum Present: Yes
Number of Sampled Component Spectra: 1
Spectrometers: USB2E3373
Integration Time (usec): 3000 (USB2E3373)
Spectra Averaged: 3 (USB2E3373)
Boxcar Smoothing: 0 (USB2E3373)
Correct for Electrical Dark: No (USB2E3373)
Strobe/Lamp Enabled: No (USB2E3373)
Correct for Detector Non-linearity: No (USB2E3373)
Correct for Stray Light: No (USB2E3373)
Number of Pixels in Processed Spectrum: 2048
>>>>>Begin Processed Spectral Data<<<<<
178.53	0.000
178.91	-275.000
179.29	-950.000
179.67	-4500.000
180.04	-153.333
180.42	700.000
180.80	1300.000
181.18	0.000
181.56	-312.500
181.94	0.000
182.31	1266.667
182.69	-4200.000
183.07	585.714
183.45	-3400.000
183.83	-1700.000
184.20	420.000
184.58	442.857
184.96	-215.385
185.34	-208.333
185.72	1450.000
186.09	-825.000
186.47	-3400.000
186.85	933.333
187.23	540.000
187.61	1400.000
187.98	525.000
188.36	292.857
188.74	358.333
189.12	391.667
189.49	825.000
189.87	0.000
190.25	462.500
190.63	3500.000
191.00	-283.333
191.38	-3600.000
191.76	-925.000
192.14	537.500
192.51	-2400.000
192.89	2050.000
193.27	1000.000
193.65	-1366.667
194.02	-760.000
194.40	600.000
194.78	-164.286
195.15	220.000
195.53	-2800.000
195.91	-480.000
196.29	3600.000
196.66	237.500
197.04	750.000
197.42	-1000.000
197.79	650.000
198.17	258.333
198.55	0.000
198.92	514.286
199.30	1300.000
199.68	1750.000
200.05	750.000
200.43	-450.000
200.81	216.667
201.18	2500.000
201.56	275.000
201.94	-925.000
202.31	-362.500
202.69	-400.000
203.07	2800.000
203.44	-450.000
203.82	291.667
204.19	560.000
204.57	-1300.000
204.95	-775.000
205.32	-700.000
205.70	700.000
206.08	750.000
206.45	-833.333
206.83	366.667
207.20	189.474
207.58	316.667
207.96	740.000
208.33	0.000
208.71	542.857
209.08	760.000
209.46	-2100.000
209.84	-775.000
210.21	900.000
210.59	-720.000
210.96	283.333
211.34	-1025.000
211.71	363.636
212.09	950.000
212.46	1300.000
212.84	-466.667
213.22	522.222
213.59	-2100.000
213.97	350.000
214.34	925.000
214.72	1300.000
215.09	1133.333
215.47	-3000.000
215.84	-290.000
216.22	-350.000
216.59	0.000
216.97	0.000
217.34	1550.000
217.72	-1450.000
218.09	1100.000
218.47	512.500
218.84	775.000
219.22	1266.667
219.59	800.000
219.97	528.571
220.34	388.889
220.72	1550.000
221.09	3900.000
221.47	258.333
221.84	1100.000
222.22	340.000
222.59	233.333
222.97	200.000
223.34	250.000
223.72	-1450.000
224.09	1200.000
224.46	200.000
224.84	-900.000
225.21	466.667
225.59	273.333
225.96	1533.333
226.34	-600.000
226.71	-625.000
227.08	-540.000
227.46	0.000
227.83	-600.000
228.21	-2300.000
228.58	383.333
228.95	925.000
229.33	411.111
229.70	950.000
230.08	330.769
230.45	3600.000
230.82	-875.000
231.20	-633.333
231.57	-1033.333
231.95	580.000
232.32	250.000
232.69	400.000
233.07	258.333
233.44	-1650.000
233.81	200.000
234.19	192.593
234.56	225.000
234.93	158.824
235.31	185.000
235.68	275.000
236.05	139.286
236.43	137.037
236.80	171.429
237.17	120.690
237.55	118.750
237.92	97.500
238.29	124.242
238.67	87.500
239.04	73.171
239.41	58.333
239.79	70.000
240.16	75.000
240.53	49.180
240.91	52.174
241.28	50.847
241.65	40.909
242.02	59.155
242.40	44.286
242.77	40.659
243.14	27.848
243.51	39.394
243.89	44.860
244.26	27.103
244.63	32.673
245.00	37.615
245.38	19.492
245.75	31.818
246.12	34.074
246.49	24.823
246.87	11.475
247.24	26.667
247.61	25.000
247.98	27.211
248.36	20.606
248.73	27.551
249.10	17.857
249.47	18.500
249.84	18.905
250.22	17.297
250.59	20.000
250.96	20.675
251.33	13.488
251.70	20.982
252.08	16.807
252.45	19.124
252.82	15.209
253.19	17.787
253.56	15.000
253.94	17.391
254.31	13.953
254.68	16.376
255.05	13.793
255.42	16.423
255.79	14.658
256.16	14.576
256.54	14.935
256.91	16.993
257.28	12.040
257.65	9.718
258.02	12.389
258.39	14.613
258.76	14.203
259.14	12.000
259.51	15.160
259.88	11.854
260.25	10.165
260.62	12.329
260.99	13.223
261.36	11.142
261.73	8.511
262.10	14.136
262.47	12.000
262.85	10.400
263.22	10.797
263.59	9.207
263.96	11.028
264.33	10.864
264.70	12.776
265.07	11.220
265.44	10.092
265.81	9.906
266.18	9.382
266.55	7.329
266.92	7.830
267.29	11.184
267.66	6.951
268.03	9.417
268.40	9.302
268.77	7.269
269.14	6.941
269.51	10.468
269.88	12.041
270.25	4.968
270.62	9.657
270.99	11.968
271.36	9.756
271.73	8.805
272.10	7.677
272.47	7.341
272.84	10.379
273.21	9.091
273.58	9.919
273.95	7.187
274.32	9.728
274.69	11.024
275.06	10.018
275.43	8.238
275.80	7.547
276.17	8.088
276.54	8.598
276.91	8.582
277.28	8.759
277.65	8.856
278.02	9.559
278.39	7.734
278.76	9.655
279.13	8.541
279.50	8.182
279.87	6.704
280.23	7.366
280.60	7.117
280.97	8.966
281.34	7.096
281.71	9.043
282.08	10.427
282.45	8.953
282.82	8.194
283.19	7.949
283.56	7.769
283.92	8.143
284.29	8.985
284.66	7.395
285.03	7.794
285.40	6.777
285.77	6.481
286.14	10.062
286.51	6.748
286.87	7.595
287.24	6.006
287.61	7.751
287.98	7.463
288.35	8.593
288.72	6.677
289.08	6.306
