population	individual	sex	body.part	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	Locality	Drainage	H2S	Species	Informal_Name	Fieldsite.ID
Ban	Ban-01	Male	head	-4.368638512024449	3.130539506064531	-0.5063114133977674	-0.425394070052196	0.06963869733735784	0.32191264435306466	0.15697672460636328	0.3170820833730407	-0.06383368529362136	0.016925986325599364	-0.26711318188904976	-0.03906079910500215	0.17143536075012356	-0.06299553839836378	-0.14135206526195576	0.025163934014749964	-0.04765127273532958	0.12434332610665311	-0.07578639537574737	-0.04944857766925928	0.10736718327806154	-0.04862730337453555	0.08668847881182257	-0.05165285253683149	0.058579234205267755	0.014343790956722042	-0.06590473399900545	-0.05418324081472198	-0.03962454800615209	0.05528945818252024	-0.04252597787811429	-0.08267889884281948	0.03913683903256207	-0.004641038316435933	-0.009946052755435218	0.008283522098967995	-0.0962748529308821	0.04241441312033924	-0.04821511359069385	0.07939082575230408	-0.044009618163221555	0.009861250085768512	-0.004292783254023727	-0.0020189989109893405	-0.015212263672132548	0.02504533126813978	-0.02193418554397073	-0.010937489837195141	-0.0587430803407496	0.014147978567723443	0.0037075593881546187	0.014362616812914744	0.05547812942564662	-0.008626628789570049	-0.03127400445750764	-0.07236856890010038	0.02601660148850979	0.0075629898888952656	0.024915150102754528	0.0270067168537027	-0.029185171674378313	-0.0040503602671462455	-0.013295855622056832	-0.018026419717529454	-0.02185242071856386	0.007080481731726537	-0.02801320285303973	-0.010821605781858909	-0.021001657683565465	0.011605771714619805	Baños del Azufre	Pichucalco	1	Poecilia mexicana	Banos	NA
Ban	Ban-02	Male	head	-2.670333648193828	0.3627971238403083	1.254201977591331	0.19962045583529409	-0.426554067672201	0.23785706688588937	-0.10014483883619905	0.31249638349700776	-8.85066782001705e-4	0.1401573492064671	-0.05039338225999482	-0.27849539624923486	-0.009408613821220688	-0.026786047194095698	-0.14130945347491275	0.02120691658049405	-0.031037828826869077	0.05898511735097605	-0.03726819862468789	-0.0703528542597874	0.0955403725468904	-0.05322567466912834	-0.007539476006287758	-0.008086232838839498	-5.647802562378235e-4	0.029141970589742782	0.05063301812846922	-0.015761526974583474	0.01691469208551486	0.019252600640534447	0.015180355857387756	-0.046957260182563444	-0.03183461755455845	0.03449689963704329	-0.06313888866430722	0.04799898849094271	0.014580197884782969	0.062293687707800506	-0.03132463850047178	0.07525046378211522	-0.06029172171331567	-0.03700411873160657	0.06507095707227278	-0.02793276133497248	-0.002073678183515365	0.03712123798883255	0.007893390398898619	0.053354234470378625	0.03840277177565381	-0.022748142547386718	0.021617256487525938	0.03061742147663543	-0.045156044865689325	-0.015101113844053528	-0.042076471500673965	-0.05751231141425754	-0.01848499626442282	0.013583471857050163	0.005914830649088487	0.01053450110065729	0.0068443108582143045	0.013604901980222512	0.026397409951045364	-0.006834427501146441	-0.012279383421370117	-0.0067810007091337	-0.0062276067009006215	0.014902225359707526	0.008490224137572788	-0.018166730850989146	Baños del Azufre	Pichucalco	1	Poecilia mexicana	Banos	NA
Ban	Ban-03	Female	head	-4.616441598156058	3.4017345788509434	1.020225363330103	-0.23403296877242924	-0.2487976126999224	0.01698777767616475	-0.01998576085951559	0.17545026386272503	-0.03248978372744771	0.009749328717609161	-0.21912545466844371	-0.32899340332333377	0.21898719497490507	-0.23884218695329107	-0.12604513930572991	-0.08274188858876323	-0.16254485450160755	0.12089309892761954	-0.1845171740379418	-0.31193142680377905	0.10536827350948459	-0.15316344115885153	0.1182617515749532	-0.0779896830882444	0.14122316331479337	-0.021188803707408416	0.0018171614110394987	-0.09799175159634553	0.10274315502205943	-0.016399680214761223	-0.08391013606015538	-0.01829357661669946	0.015329717800075748	0.022231167215081643	0.04155888891060162	0.016855263311223723	0.04100071037892031	-0.06982030116448633	-0.004832925683047324	-0.036456662123797584	0.0658235657251374	0.09666023675082154	0.04251590421262186	-0.06839542845398497	8.318994927894452e-5	0.018713661607937748	-0.0376388568147639	-0.060968704975827806	0.024736875742579906	-0.06215162828694096	0.007745658044044812	-0.0778130570745176	0.045626671967853014	-0.005148757958762802	-0.04013653988390777	-0.0032455712141550574	-0.04106592364887279	-0.043137564199984595	0.12642869059237166	-0.0802095419516906	0.005843695343429878	-0.019303872360119982	0.06757378542600369	0.06511127437209889	6.928312361285244e-4	0.00530663952000001	0.022325036801790543	0.027296354517813183	0.03324998370506481	-0.004272698917872462	Baños del Azufre	Pichucalco	1	Poecilia mexicana	Banos	NA
Ban	Ban-04	Male	head	-3.6331215971268622	-3.3947264528968066	-0.6373465983749738	-1.1215903754230347	-0.6568983974070955	-0.1688064011778104	-0.13171487520391043	0.4165023972715096	0.03292903126442941	0.25731565950181157	-0.08195717381338073	-0.32559560554270245	0.20786729819436853	-0.08941384470191932	-0.15878390486579463	0.1888314537493135	-0.06319483342653728	0.09164062413973437	-0.20264540530202244	-0.05760191214236224	-0.030068694354941777	-0.006645845062867799	0.08431144978363013	0.009833702442856626	-0.09928028970455571	0.11278540976464423	-0.026933387777471236	-0.052043961008544457	0.04470453002734419	0.0039476616985274285	-8.049326128547855e-5	0.03295134414498356	-0.02850713280159803	-0.024729079350469696	-0.04233118391550854	-0.010739264677634183	-0.047105085855729645	0.07838931264289918	0.027130200435530317	0.0914480169012552	-0.07238272845022312	0.017770346988151275	0.02626137346632104	-0.04596619871426786	-0.008444235057925908	0.015797408277138825	0.012060991057186159	-0.07711545930476588	-0.04651833951329069	-0.03946953050382884	-0.07891989906736896	0.04248301674734685	0.011830793127590528	-0.024309493397800537	-0.03274882448424349	0.0013551394719926724	-7.340009453488949e-4	-0.0512504572891464	0.038110818008953225	0.007973509326870548	-0.020596874881184696	0.018722358124985607	-0.020106393751761792	-0.038341638918533136	-0.011086207465822763	-0.019113687407896193	0.009332476021939314	-0.02379770722190122	-4.6813133539561763e-4	-8.524969701854219e-4	Baños del Azufre	Pichucalco	1	Poecilia mexicana	Banos	NA
Ban	Ban-05	Male	head	-3.6521911009807275	-7.040577632033697	-3.761976266688894	1.0097151304307515	-1.0230834683974437	0.24413734342966484	-0.026023827696455837	0.1946206121083639	0.18663035384612628	0.045786763740653914	0.049083390955044756	-0.6685865911336434	0.36454398869420257	-0.17535089934988607	-0.17981146444022245	-0.010596715098671184	-0.19002148332883576	-0.0691368552517787	-0.11755873424764202	-0.11592625483891958	-0.10742136301224031	0.04554275204248342	0.0790915746497523	0.0758850176395402	0.055985768412797704	0.005195353832558754	-0.07671067159324241	-0.05220426992151611	-0.03493870913567368	-0.14124442633206247	-0.032841906843428983	0.10889431414289961	-0.03858734890987857	0.02324725430276811	-0.015013223308634173	0.018266983909384873	-0.14626028487846468	-0.08112885313867593	-8.977674657912989e-4	0.0705544177653693	0.015301735383939773	-0.07143246955799222	-0.05906735841850343	0.07853931500476463	0.15122487271326093	-0.1215507317016665	-0.027329763585139995	0.03837362964345817	0.02191492259309305	0.052363486543039406	0.02008088595647259	-0.11717123406035915	0.03168970629340957	-0.061727227585771524	0.012925206558573673	-0.0196176707603484	0.02551610605186655	0.025469916686588878	-0.012643343595187224	0.044153260320586904	0.015303665371606628	0.028444880268888258	0.06738314106740452	0.023683025107643335	-0.01873750745677836	-0.0025469212366816957	-0.028858260510988717	-0.004203353890747538	-0.0036720492437885346	0.007428026621405957	Baños del Azufre	Pichucalco	1	Poecilia mexicana	Banos	NA
Ban	Ban-06	Male	head	0.565353550077178	-5.0786803874713105	0.2726303637619305	-0.7067549967607938	-0.6201550860537921	0.7124065371787921	0.3919309294896561	0.4518059814982533	-0.19750792362059216	0.22481595473633592	-0.3121356444042758	-0.43975123934662924	0.3191813289084193	0.18334537465925654	-0.17063650650876813	-0.29581583109942944	-0.15284458646208726	0.28486239668912666	0.031082554771857285	-0.5712877005657082	0.25725156696235474	0.183299103041225	0.11172377475989453	0.07911465209543676	-0.1482539099277648	-0.05443100983155835	-0.03561863225982403	-0.00657388818581095	-0.0206914921610626	-0.002516670713272072	-0.10060519035947202	0.13370160605103856	0.24166280330418569	0.08556452704469937	0.10388389774907852	0.050299558071802294	0.002249193362460683	0.08394798297498124	-0.13579582327640535	-0.12388885351106962	-0.10019637566642392	-0.1340550632271501	-0.03929408328907466	0.07115522997019232	-8.671078639954782e-4	-0.025165898147642404	-0.13069520116308891	0.01661315663317385	0.0594526015915163	-0.05751273666715552	-0.09688317147246922	0.014920117056007667	0.06678047633507192	0.07568361983616376	0.11465199429679745	-0.041326388354753815	-0.019407855248093103	-0.04046102936304705	0.09590643048837516	-0.058553764822308445	-0.051363885569445454	0.004025493181326462	-0.07827021119926841	0.01750080576930274	0.06238722388843572	-0.003709513361411971	-0.009596203766576652	0.011060635193067138	0.012736970985973435	0.014289599284460476	Baños del Azufre	Pichucalco	1	Poecilia mexicana	Banos	NA
Ban	Ban-07	Female	head	-5.636603431989037	3.250346473408692	-0.34954671760659306	-0.7166221488718502	-0.0568441751471116	-0.02109349490243805	0.1351315432370871	0.1320417409177007	0.07151122467652198	0.014038888863334414	0.0679794631601402	-0.19594312686782922	0.17778739575414865	0.02615215620125104	-0.09483983888154296	0.0574036988664481	0.010438721422488126	-0.018005647984090517	-0.11371988712112178	0.043505484377531684	0.03396760036939108	0.09822222818215554	0.09922473106686285	-0.045595079759603016	-0.03842469126362191	0.03650887028163124	-0.01626191751333657	-0.013097813538227643	0.033715945008301995	-0.031154424056431068	-0.04951807984107259	0.0051398020387462134	0.056864335046948336	0.0037396878945085282	-0.08372402503617825	0.07989599221409718	-0.008447790225566687	0.016969594524546203	-0.02747306064875243	0.05518093876581848	-0.042680369402811835	0.06761454707957797	0.026725777544109354	0.04983442670283592	0.017302367566624455	0.006176636495811155	-0.03953597592056317	-0.02264444740312288	0.006962056548002013	-0.02040015261297734	-0.037131142728095534	0.02178741347858873	-0.028402716351282817	0.01590385687158983	-0.006920057335575746	-0.0020264691232811383	0.03693264332547147	0.04947817212272847	-0.025702778916820376	0.0047766697189449425	0.023835778371772615	0.015768582104718935	-0.03084487530348473	-0.06875149802910391	-0.005037805743563842	-0.007689720562154563	0.005582122869549807	-9.783612333877367e-4	0.04108444439581469	0.004269692165036873	Baños del Azufre	Pichucalco	1	Poecilia mexicana	Banos	NA
Ban	Ban-08	Female	head	-8.698920509400399	6.718367277943349	0.6777036732735375	0.8993411222658985	0.22339544513268395	-0.014509840207502917	-0.07876867177487079	0.14721738329328612	-0.15420481326383856	0.055940774442221994	0.10192669422640231	-0.05288995689463804	0.14966915938594944	-0.04849199449871743	-0.14884900634223794	-0.09808620048713348	-0.16652319220745945	6.27936880129569e-4	-0.11976917163042405	-0.09770322701455866	0.07248934779219965	0.03446400499514671	0.033727946083219065	0.07612642449057587	0.049365770716009616	0.04621112802904373	6.178326891343039e-4	0.018294077497923653	0.051035498120502204	0.05854609462504097	0.07809708166040885	-0.014048987895857887	0.03127765752531836	6.877531527319236e-4	0.001785021261305475	-0.06204879969611823	-0.020733754382732193	-0.03743542879964587	-0.06552356068040713	0.032422050296526006	-0.08483101582818131	0.0014329447701593584	0.02844888019574271	-0.02771348779277935	0.04228273345853151	-0.0029988137608599613	-0.03615760584876823	-9.274040092904778e-6	-0.005964809456511219	0.01389438887586783	-0.003253174586058949	0.009789068212672586	0.04844251317739691	-0.01763269174767161	0.009017025841266752	-0.00678427330607928	0.02124789711891162	-0.031934353944693024	-0.007881072885837274	0.02434426377055232	-0.0029174745079142417	0.008129176840948778	-0.006939995945050681	-0.02958099521541932	-0.013091715643115537	0.03826867980255186	-0.027022831711523025	-0.01884805008012462	-0.00209213793447504	0.0011159539700750908	Baños del Azufre	Pichucalco	1	Poecilia mexicana	Banos	NA
Ban	Ban-09	Male	head	0.22313572148635663	-3.14998948989863	1.042497637169016	-0.9717031760580436	-1.2998193472318575	0.21369974164477445	0.13443159475334115	0.4225009740917407	-0.20898416093371344	0.20421036796578626	-0.1547975322467971	-0.07491413081934152	0.10537676285597011	-0.017367469403764005	-0.13462302111710103	0.15728684994036998	-0.07898483653021626	-0.1188701865844676	-0.01107987091191102	-0.014611823531633143	-0.023993341303984613	0.02210249173853098	0.005674847494281914	0.07476588739141084	0.09358884886638781	0.05860337687358051	0.038810475681009454	-0.10176085497873662	-0.01693600974645755	0.05836895772462004	-0.040965072520445046	0.020863014352133103	0.04215456971824525	0.02854569835475413	-0.03584619860836853	-0.020424194721349438	0.04612458192320813	-0.006312125284466799	-0.02119154648432489	0.02509325398249733	-0.07175776475472441	-0.015130137420459253	-0.03264550742004872	-0.07611644324409621	0.01763761212972913	0.018204652815405738	0.04759995609651627	0.006713274349036562	-0.006624807427032243	-0.004040872176595399	0.03350829263330002	-5.008942527039914e-4	-0.013934765275995725	0.05049069679071461	0.026952831725762846	-0.02328981662683139	0.05046001770641448	-0.028438397011663577	0.05047042469726576	-0.05496882592874823	0.017017596544362704	0.01134878727256667	-0.01768052618399859	0.017773204761136585	-0.06011915925134957	-0.01839435451865997	0.00686073537421932	-0.021113241122684576	-0.005716594009368071	-0.006282926469663144	Baños del Azufre	Pichucalco	1	Poecilia mexicana	Banos	NA
Ban	Ban-10	Male	head	-4.330603636774679	0.057191673655664854	-1.785814066624839	-1.2603475237110262	-0.170208166778899	0.0683261076062841	0.23501278436369552	0.056381358044760105	0.14577650628068328	-0.10706669130938129	-0.08143612256755414	-0.3171301849128078	0.0415000083268353	-0.008440663550307783	-0.1588638394903927	-0.08902646482339194	-0.048356533862862455	0.14834877670133362	-0.09396236409787073	0.07475484770996794	0.003817762185226503	0.004641281175024603	0.16198595929091333	0.04372319973820909	-0.0897868553912397	0.017771787022681743	-0.054633107735226866	-0.09139626248405346	0.012341229744571025	-0.05380499035354185	-0.03717156682219801	0.038301834850324	0.016981983019924252	0.087902790034204	-0.06441056248932817	-0.03119844677949408	-0.015400747719173224	-0.049832868402271704	-0.004087460033028645	0.04598554470586233	0.03714338449447166	0.04788656670614479	-0.028898330839997457	-0.016737183548878813	-0.011022531018199	0.10900979083163037	-0.057423304235083225	-0.04166772583972586	0.060528125044845754	-0.008920351467208959	0.04442813693722611	0.08960363963915736	0.04022871641512152	0.03607765793710056	0.02811998584219238	-0.08517402241882785	-0.043181399970870366	0.029196407776331392	0.0036026582393150633	0.03510991809546475	-0.007783172956945569	-0.05278528886747767	-0.042452484840976135	0.016543721574191317	-0.006881410564563616	-0.03426503738123916	0.030398304062857612	-0.026313419895418536	0.0024252558719276528	-0.0039000888903931016	Baños del Azufre	Pichucalco	1	Poecilia mexicana	Banos	NA
