PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	Sample.ID	Identifier	Fieldsite.ID	Locality	Drainage	H2S	Species	Sex
0.10836247111445961	-0.24757873586414195	-0.05730695972868058	-0.14787152989359484	0.14508652418370838	-0.18396974545851935	-0.37579043146021635	-0.06494625514833725	-0.17277021386987	MX14-200	200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
0.1396599982962255	-0.08491438911530885	-0.12217709250429566	-0.181984237776028	0.005602767532777113	-0.09774380443494719	0.08434853513975094	0.13936991985899191	0.08430571826009405	MX14-201	201	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
0.13660228850499354	-0.09252463266432465	-0.19293887529895556	-0.11436043330947805	-0.14739421226566768	-0.12109309981890076	0.21019000032435173	-0.3784102395668956	-0.29319929888102114	MX14-202	202	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
0.1063042128618904	-0.25389134435143285	0.07136405476654503	-0.0632310914136786	-0.08920074625817088	0.02211434059402261	0.011793521239076614	0.01321313095628006	0.03321955902287961	MX14-203	203	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
0.13793097862129086	0.0348023108491066	-0.23817043236091748	-0.2027334858089223	0.1253446669221123	-0.12450112367703017	-0.1934828136974667	-0.39637553371707546	0.10596840230775936	MX14-204	204	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
0.133607752212021	-0.097417220188853	-0.23687156599913994	-0.16910587063667926	0.13020045585632484	-0.03481280033573484	0.07057026626870298	0.051738998243881486	0.35121906160155164	MX14-205	205	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
0.13686047141437194	0.03113789129363707	-0.2621901611457466	-0.16947827432573695	-0.12989868872900034	0.19827366962936183	0.16327073206784934	-0.15741138238609725	-0.01422853917712298	MX14-206	206	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
0.13042606256652864	-0.1489952045492219	0.16125732858111969	-0.06374840404677518	-0.10019983068778329	0.05146836882543838	0.05911631463379712	0.005631555978613861	0.27017032060759105	MX14-242	242	MT14-13	La Esperanza	Ixtapangajoya	1	Poecilia thermalis	0
0.1414677049483174	0.08487957011458104	-0.0388200204747038	-0.09305469055061383	0.19719138183454657	-0.017443895326738405	0.07942542217389792	0.07876634185056582	0.027538911667112826	MX14-244	244	MT14-13	La Esperanza	Ixtapangajoya	1	Poecilia thermalis	0
0.14318567606930668	0.06240180411185133	0.03384627683088464	-0.06341265430220067	0.30038633803488124	-0.02088958066325873	0.04087590006587899	-0.013209110054441581	0.03514570748512246	MX14-245	245	MT14-13	La Esperanza	Ixtapangajoya	1	Poecilia thermalis	0
0.13834281827475664	0.11646499460837853	-0.013036050640168035	-0.06527295844043397	0.10263418696320215	0.10869554120057388	0.01586904494763088	0.1629284825058805	-0.10066839829976025	MX14-246	246	MT14-13	La Esperanza	Ixtapangajoya	1	Poecilia thermalis	0
0.14450811942106254	0.03315788667994334	-0.04337872044643084	-0.11277981596272589	0.2547805564777033	0.02347183675786753	0.10119472135839105	0.07533460616188942	-0.24227477570919578	MX14-247	247	MT14-13	La Esperanza	Ixtapangajoya	1	Poecilia thermalis	0
0.14295544561944426	-0.05815478807553326	0.08012647247533038	-0.05280787306235461	0.2577678621483586	-0.0646110029606292	-0.05880511921324304	-0.027932046018743415	-0.013083611577619425	MX14-248	248	MT14-13	La Esperanza	Ixtapangajoya	1	Poecilia thermalis	0
0.1451646253364735	-0.006758051271344913	0.04819162493083094	-0.09294425065432067	0.17840129211905767	0.143348871251334	0.011913175061918234	0.0849396782757338	0.15991858549110377	MX14-249	249	MT14-13	La Esperanza	Ixtapangajoya	1	Poecilia thermalis	0
0.1031584623496123	-0.2611655775956104	0.0933642294552428	-0.012487848914109336	-0.039315025708958146	-0.05396711668008538	0.0512178926397672	-0.026191216955360093	-0.11289253972996141	MX14-260	260	MT14-17	Rio Ixtapangajoya	Ixtapangajoya	0	Poecilia mexicana	0
0.10418726822751131	-0.254284936275326	-0.10400653334742624	0.23614078076079945	-0.07018546761062534	-0.12492028535580714	-0.35376983087917274	0.06114345676388236	0.16445649069737528	MX14-261	261	MT14-17	Rio Ixtapangajoya	Ixtapangajoya	0	Poecilia mexicana	0
0.11186148208053308	-0.23697456520041302	0.07375597114266991	0.10236440624105755	-0.017949533992691332	0.3488843938863223	-0.09319394557768822	-0.13804297678061433	-0.18608875526427845	MX14-262	262	MT14-17	Rio Ixtapangajoya	Ixtapangajoya	0	Poecilia mexicana	0
0.12224606623641215	-0.18682676937482381	-0.03561968755324972	0.45239989299222094	0.2175313545863047	0.14263266369623345	0.02731754609570173	-0.07552928415431899	-0.053806964779717956	MX14-264	264	MT14-17	Rio Ixtapangajoya	Ixtapangajoya	0	Poecilia mexicana	0
0.11272399492633679	-0.035428172962959664	-0.5058748283929089	0.08707514797574224	-0.36171508141065334	-0.00273370291422866	0.037369597007688916	0.13352544771485444	0.03335734581501237	MX14-265	265	MT14-17	Rio Ixtapangajoya	Ixtapangajoya	0	Poecilia mexicana	0
0.10941153988946078	-0.1726201446311999	-0.37196788124471886	0.2693114988345373	0.020229670533130212	0.05643591928562115	0.1502287991678755	0.11169523785229768	0.03799662620578675	MX14-266	266	MT14-17	Rio Ixtapangajoya	Ixtapangajoya	0	Poecilia mexicana	0
