Identifier	lambda	lambda_sensitivity	Sample.ID	Fieldsite.ID	Locality	Drainage	H2S	Species	Sex
200	396	0.02345076395368906	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	397	0.023522286261572874	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	398	0.023637430129724343	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	399	0.02379489872623717	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	400	0.023993282826701864	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	401	0.024231103030296203	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	402	0.02450684544863294	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	403	0.02481899071631181	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	404	0.02516603656468208	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	405	0.02554651447832682	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	406	0.025959001126784766	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	407	0.026402125348547904	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	408	0.02687457147988713	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	409	0.02737507978687157	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	410	0.0279024446923735	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	411	0.028455511405163524	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	412	0.02903317146637624	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	413	0.029634357637533373	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	414	0.03025803846910145	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	415	0.03090321281225555	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	416	0.031568904470497934	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	417	0.0322541571322915	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	418	0.03295802968042262	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	419	0.0336795919374541	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	420	0.03441792087824341	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	421	0.035172097318856364	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	422	0.03594120307516312	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	423	0.03672431857287904	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	424	0.037520520882897215	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	425	0.03832888215064297	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	426	0.03914846838521758	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	427	0.03997833857274085	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	428	0.04081754407813656	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	429	0.041665128300282094	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	430	0.04252012654671425	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	431	0.043381566095750945	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	432	0.04424846641579829	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	433	0.04511983951367128	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	434	0.04599469038587614	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	435	0.04687201754893756	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	436	0.0477508136269698	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	437	0.04863006597675928	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	438	0.04950875733264995	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	439	0.05038586645548111	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	440	0.051260368771737876	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	441	0.05213123699093491	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	442	0.052997441691072185	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	443	0.05385795186379731	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	444	0.05471173541268474	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	445	0.05555775959981764	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	446	0.05639499143764672	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	447	0.05722239802490727	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	448	0.05803894682722583	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	449	0.05884360590493089	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	450	0.0596353440925257	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	451	0.06041313113626517	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	452	0.06117593779831708	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	453	0.06192273593805936	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	454	0.06265249858316127	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	455	0.06336420000518984	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	456	0.06405681581654746	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	457	0.06472932310753826	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	458	0.06538070064424781	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	459	0.06600992914963413	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	460	0.06661599169172998	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	461	0.06719787420407165	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	462	0.06775456616434403	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	463	0.06828506145769543	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	464	0.06878835945116916	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	465	0.06926346630515685	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	466	0.06970939654665022	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	467	0.07012517492730157	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	468	0.07050983858686101	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	469	0.07086243953940978	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	470	0.07118204749594237	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	471	0.07146775303226215	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	472	0.07171867110586322	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	473	0.07193394491950655	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	474	0.07211275012261947	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	475	0.0722542993345228	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	476	0.07235784696591654	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	477	0.07242269430714898	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	478	0.07244819484369822	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	479	0.07243375975116209	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	480	0.0723788635140722	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	481	0.07228304960521159	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	482	0.07214593615504525	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	483	0.07196722153458238	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	484	0.07174668976972025	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	485	0.07148421570109002	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	486	0.0711797698008552	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	487	0.07083342255700217	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
