Fieldsite.ID	Drainage	lambda	H2S	median_sensitivity
MT14-11	Pichucalco	456	0	0.08810989677496664
MT14-11	Pichucalco	457	0	0.08911639074713917
MT14-11	Pichucalco	458	0	0.09009760889189034
MT14-11	Pichucalco	459	0	0.09105212774245451
MT14-11	Pichucalco	460	0	0.09197852381068704
MT14-11	Pichucalco	461	0	0.09287537440559358
MT14-11	Pichucalco	462	0	0.09374125865855806
MT14-11	Pichucalco	463	0	0.09457475878756032
MT14-11	Pichucalco	464	0	0.09537446163267645
MT14-11	Pichucalco	465	0	0.09613896049447797
MT14-11	Pichucalco	466	0	0.09686685730553639
MT14-11	Pichucalco	467	0	0.09755676516302475
MT14-11	Pichucalco	468	0	0.09820731124734558
MT14-11	Pichucalco	469	0	0.09881714014776304
MT14-11	Pichucalco	470	0	0.09938491761116272
MT14-11	Pichucalco	471	0	0.09990933472430377
MT14-11	Pichucalco	472	0	0.10038911253327996
MT14-11	Pichucalco	473	0	0.10082300709641713
MT14-11	Pichucalco	474	0	0.10120981495856997
MT14-11	Pichucalco	475	0	0.10154837902583394
MT14-11	Pichucalco	476	0	0.10183759481017582
MT14-11	Pichucalco	477	0	0.10207641700356218
MT14-11	Pichucalco	478	0	0.10226386633100254
MT14-11	Pichucalco	479	0	0.10239903662172309
MT14-11	Pichucalco	480	0	0.10248110202768457
MT14-11	Pichucalco	481	0	0.10250932430909847
MT14-11	Pichucalco	482	0	0.1024830600977608
MT14-11	Pichucalco	483	0	0.10240176804118144
MT14-11	Pichucalco	484	0	0.10226501572395297
MT14-11	Pichucalco	485	0	0.10207248625784096
MT14-11	Pichucalco	486	0	0.1018239844289821
MT14-11	Pichucalco	487	0	0.10151944228958669
MT14-11	Pichucalco	488	0	0.10115892408287838
MT14-11	Pichucalco	489	0	0.10074263039382933
MT14-11	Pichucalco	490	0	0.10027090142466369
MT14-11	Pichucalco	491	0	0.09974421930314824
MT14-11	Pichucalco	492	0	0.09916320934330246
MT14-11	Pichucalco	493	0	0.09852864019221917
MT14-11	Pichucalco	494	0	0.09784142281296261
MT14-11	Pichucalco	495	0	0.09710260827169133
MT14-11	Pichucalco	496	0	0.09631338431685726
MT14-11	Pichucalco	497	0	0.09547507075909469
MT14-11	Pichucalco	498	0	0.094589113681729
MT14-11	Pichucalco	499	0	0.09365707853314886
MT14-11	Pichucalco	500	0	0.09268064217304584
MT14-11	Pichucalco	501	0	0.09166158396415483
MT14-11	Pichucalco	502	0	0.09060177601911691
MT14-11	Pichucalco	503	0	0.0895031727279222
MT14-11	Pichucalco	504	0	0.08836779970466753
MT14-11	Pichucalco	505	0	0.08719774230271819
MT14-11	Pichucalco	506	0	0.08599513385455088
MT14-11	Pichucalco	507	0	0.08476214379638423
MT14-11	Pichucalco	508	0	0.08350096583812501
MT14-11	Pichucalco	509	0	0.08221380633617803
MT14-11	Pichucalco	510	0	0.08090287302040598
MT14-11	Pichucalco	511	0	0.0795703642171773
MT14-11	Pichucalco	512	0	0.07821845869827766
