Gene	Identifier	Efficiency	meanCT	CT_stdev	expression	total_cone	percent_cone	Sample.ID	Fieldsite.ID	Locality	Drainage	H2S	Species	Sex
LWS1	477	0.8267	40	0	3.414372100331709e-11	3.849455069925838e-6	8.86975438941151e-6	MX14-477	MT14-26	Arroyo Bonita	Tacotalpa	0	Poecilia mexicana	0
LWS1	478	0.8267	40	0	3.414372100331709e-11	5.84453965372498e-6	5.841986371254374e-6	MX14-478	MT14-26	Arroyo Bonita	Tacotalpa	0	Poecilia mexicana	0
LWS1	479	0.8267	40	0	3.414372100331709e-11	1.532692484286877e-6	2.2276954675094727e-5	MX14-479	MT14-26	Arroyo Bonita	Tacotalpa	0	Poecilia mexicana	0
LWS1	502	0.8267	40	0	3.414372100331709e-11	5.605174324234682e-8	6.091464605425809e-4	MX14-502	MT14-27	La Lluvia spring	Puyacatengo	1	Poecilia mexicana	0
LWS1	503	0.8267	40	0	3.414372100331709e-11	2.1760057653154773e-7	1.569100668185359e-4	MX14-503	MT14-27	La Lluvia spring	Puyacatengo	1	Poecilia mexicana	0
LWS1	505	0.8267	40	0	3.414372100331709e-11	3.057006731240835e-7	1.1169004194327764e-4	MX14-505	MT14-27	La Lluvia spring	Puyacatengo	1	Poecilia mexicana	0
LWS1	506	0.8267	40	0	3.414372100331709e-11	1.934921601626224e-6	1.7646048798370262e-5	MX14-506	MT14-27	La Lluvia spring	Puyacatengo	1	Poecilia mexicana	0
LWS1	507	0.8267	40	0	3.414372100331709e-11	3.2472749405884007e-6	1.0514576568970876e-5	MX14-507	MT14-27	La Lluvia spring	Puyacatengo	1	Poecilia mexicana	0
LWS1	508	0.8267	40	0	3.414372100331709e-11	2.168449200986523e-6	1.574568635861223e-5	MX14-508	MT14-27	La Lluvia spring	Puyacatengo	1	Poecilia mexicana	0
LWS1	509	0.8267	40	0	3.414372100331709e-11	6.209554765064972e-7	5.498577964946869e-5	MX14-509	MT14-27	La Lluvia spring	Puyacatengo	1	Poecilia mexicana	0
LWS1	523	0.8267	40	0	3.414372100331709e-11	3.268473210872132e-7	1.0446382393388646e-4	MX14-523	MT14-28	Rio Puyacatengo at Vicente Guerrero	Puyacatengo	0	Poecilia mexicana	0
LWS1	524	0.8267	40	0	3.414372100331709e-11	3.4700547666947656e-7	9.839533753479937e-5	MX14-524	MT14-28	Rio Puyacatengo at Vicente Guerrero	Puyacatengo	0	Poecilia mexicana	0
LWS1	526	0.8267	40	0	3.414372100331709e-11	7.414752401475973e-7	4.604836298582334e-5	MX14-526	MT14-28	Rio Puyacatengo at Vicente Guerrero	Puyacatengo	0	Poecilia mexicana	0
LWS1	527	0.8267	40	0	3.414372100331709e-11	3.33896237627883e-6	1.0225847780102635e-5	MX14-527	MT14-28	Rio Puyacatengo at Vicente Guerrero	Puyacatengo	0	Poecilia mexicana	0
LWS1	528	0.8267	40	0	3.414372100331709e-11	6.777896592600698e-6	5.037509872987904e-6	MX14-528	MT14-28	Rio Puyacatengo at Vicente Guerrero	Puyacatengo	0	Poecilia mexicana	0
LWS1	529	0.8267	40	0	3.414372100331709e-11	4.901671353548848e-6	6.965730368397051e-6	MX14-529	MT14-28	Rio Puyacatengo at Vicente Guerrero	Puyacatengo	0	Poecilia mexicana	0
LWS1	530	0.8267	40	0	3.414372100331709e-11	1.325026853076731e-6	2.5768323807200506e-5	MX14-530	MT14-28	Rio Puyacatengo at Vicente Guerrero	Puyacatengo	0	Poecilia mexicana	0
LWS1	590	0.8267	37.475	3.5708892449920633	1.5632217956507058e-10	1.864458390474698e-7	8.384321171429865e-4	MX14-590	MT14-29	La Gloria springs	Pichucalco	1	Poecilia sulphuraria	0
LWS1	591	0.8267	40	0	3.414372100331709e-11	3.3206188778693044e-7	1.0282336594203072e-4	MX14-591	MT14-29	La Gloria springs	Pichucalco	1	Poecilia sulphuraria	0
LWS1	592	0.8267	40	0	3.414372100331709e-11	5.960858038279638e-6	5.727987612530243e-6	MX14-592	MT14-29	La Gloria springs	Pichucalco	1	Poecilia sulphuraria	0
LWS1	593	0.8267	40	0	3.414372100331709e-11	4.657338096703133e-6	7.331166493471233e-6	MX14-593	MT14-29	La Gloria springs	Pichucalco	1	Poecilia sulphuraria	0
LWS1	594	0.8267	40	0	3.414372100331709e-11	3.3723009641404796e-6	1.0124754986694827e-5	MX14-594	MT14-29	La Gloria springs	Pichucalco	1	Poecilia sulphuraria	0
LWS1	595	0.8267	37.715	3.231477990022522	1.352759108321445e-10	1.3880433081374242e-6	9.745798999144155e-5	MX14-595	MT14-29	La Gloria springs	Pichucalco	1	Poecilia sulphuraria	0
