site.name	sample.location	light	n.measures	nls.converged	lambda	transmission_ss	transmission
Ban	1	s	2	NA	443	0	4.086147099410821e-5
Ban	1	s	2	NA	444	0	-1.5799020642147895e-5
Ban	1	s	2	NA	445	0	-8.017210863329352e-6
Ban	1	s	2	NA	446	0	1.1048831315073596e-5
Ban	1	s	2	NA	447	0	5.2666652822589376e-5
Ban	1	s	2	NA	448	0	4.6249163218115907e-05
Ban	1	s	2	NA	449	3.0814879110195774e-33	1.8490885539807784e-5
Ban	1	s	2	NA	450	0	3.098750589525989e-5
Ban	1	s	2	NA	451	0	2.8148194533271787e-5
Ban	1	s	2	NA	452	0	3.105253742902221e-5
Ban	1	s	2	NA	453	0	-1.8486096992217567e-5
Ban	1	s	2	NA	454	0	1.85519903612017e-6
Ban	1	s	2	NA	455	0	2.055192383230777e-5
Ban	1	s	2	NA	456	0	2.6634555441138714e-6
Ban	1	s	2	NA	457	3.0814879110195774e-33	3.605540068102065e-5
Ban	1	s	2	NA	458	0	4.363648392954548e-5
Ban	1	s	2	NA	459	3.0814879110195774e-33	7.193812802037515e-5
Ban	1	s	2	NA	460	0	5.8439919667052264e-5
Ban	1	s	2	NA	461	0	5.000115242481639e-5
Ban	1	s	2	NA	462	3.0814879110195774e-33	4.683513910693807e-5
Ban	1	s	2	NA	463	0	1.7185927595858535e-5
Ban	1	s	2	NA	464	0	3.4008535461678805e-5
Ban	1	s	2	NA	465	0	3.852700533429796e-5
Ban	1	s	2	NA	466	0	3.4951153592318664e-5
Ban	1	s	2	NA	467	0	7.290625866524994e-6
Ban	1	s	2	NA	468	0	1.2776412880254846e-5
Ban	1	s	2	NA	469	0	2.876954169580334e-5
Ban	1	s	2	NA	470	0	1.3420037302636205e-5
Ban	1	s	2	NA	471	0	2.0833494734314854e-5
Ban	1	s	2	NA	472	0	2.629050341896921e-5
Ban	1	s	2	NA	473	0	3.275515843208603e-6
Ban	1	s	2	NA	474	0	2.8319337916583906e-5
Ban	1	s	2	NA	475	0	3.9989504762898443e-5
Ban	1	s	2	NA	476	0	1.4208652033796053e-5
Ban	1	s	2	NA	477	3.0814879110195774e-33	4.5584125821597745e-5
Ban	1	s	2	NA	478	3.0814879110195774e-33	4.955869081047478e-5
Ban	1	s	2	NA	479	0	2.626812172113644e-5
Ban	1	s	2	NA	480	0	1.9157089570272172e-5
Ban	1	s	2	NA	481	0	2.707869896765271e-5
Ban	1	s	2	NA	482	0	3.1779012423861366e-5
Ban	1	s	2	NA	483	0	3.194016080077801e-5
Ban	1	s	2	NA	484	0	2.4977383351659998e-5
Ban	1	s	2	NA	485	0	2.286533936839966e-5
Ban	1	s	2	NA	486	0	2.5450294914744896e-5
Ban	1	s	2	NA	487	0	2.5959578525682936e-5
Ban	1	s	2	NA	488	0	5.0283718454985554e-5
Ban	1	s	2	NA	489	7.703719777548943e-34	3.575355787291851e-5
Ban	1	s	2	NA	490	0	6.285553242709977e-5
Ban	1	s	2	NA	491	0	5.6108091560609245e-5
Ban	1	s	2	NA	492	0	5.2749966798858885e-5
Ban	1	s	2	NA	493	0	3.8366745518612256e-5
Ban	1	s	2	NA	494	0	3.829421405658775e-5
Ban	1	s	2	NA	495	7.703719777548943e-34	6.626750317565793e-5
Ban	1	s	2	NA	496	7.703719777548943e-34	3.343567179568611e-5
Ban	1	s	2	NA	497	0	2.733968894634772e-5
Ban	1	s	2	NA	498	0	5.4610067371073625e-5
Ban	1	s	2	NA	499	0	5.597164729605693e-5
